,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,lebu,-37.62,-73.65,11.09,91,80,2.8,CL,1602980290
88,morki,56.43,48.99,-0.71,97,16,2.11,RU,1602980292
89,okhotsk,59.38,143.3,-3.23,80,99,6.03,RU,1602980293
90,umm kaddadah,13.6,26.69,29.22,14,100,4.06,SD,1602980294
91,lata,40.16,-8.33,15.56,93,20,2.1,PT,1602980207
92,mataura,-46.19,168.86,11.67,65,91,3.13,NZ,1602980298
93,koslan,63.46,48.9,-0.28,98,93,4.01,RU,1602980299
94,tres arroyos,-38.37,-60.28,22.1,77,0,4.83,AR,1602980301
95,kodiak,57.79,-152.41,8.0,52,90,2.1,US,1602980303
96,sitka,57.05,-135.33,7.0,52,90,2.1,US,1602980306
97,shihezi,44.3,86.03,7.14,52,0,0.25,CN,1602980265
98,den helder,52.96,4.76,8.89,93,75,0.5,NL,1602980243
99,benemerito de las americas,16.52,-90.64,23.26,96,94,0.99,MX,1602980311
100,bengkulu,-3.8,102.27,25.09,82,100,1.65,ID,1602980312
101,harper,4.38,-7.72,25.2,90,60,3.37,LR,1602980313
102,hibbing,47.43,-92.94,0.0,92,90,5.7,US,1602980315
103,port lincoln,-34.73,135.87,12.77,59,58,4.02,AU,1602980316
104,pitogo,13.78,122.09,27.88,83,73,2.78,PH,1602980317
105,te anau,-45.42,167.72,12.52,70,100,1.63,NZ,1602980318
106,whitehorse,60.72,-135.05,-4.0,45,5,3.6,CA,1602980320
107,moshkovo,55.31,83.61,10.0,71,100,8.0,RU,1602980321
108,roald,62.58,6.13,7.0,62,86,6.2,NO,1602980322
109,sibolga,1.74,98.78,25.11,78,100,1.25,ID,1602980324
110,bambous virieux,-20.34,57.76,21.0,83,20,1.5,MU,1602980325
111,carnarvon,-24.87,113.63,21.0,77,75,5.7,AU,1602980326
112,hilo,19.73,-155.09,31.0,55,1,5.1,US,1602980327
113,luderitz,-26.65,15.16,18.57,45,0,8.64,NA,1602980329
114,dubti,11.74,41.09,29.4,26,7,1.06,ET,1602980170
115,mar del plata,-38.0,-57.56,20.56,88,8,2.1,AR,1602980332
116,bongandanga,1.5,21.05,21.37,98,99,0.43,CD,1602980335
117,hearst,49.68,-83.67,1.14,89,99,2.57,CA,1602980336
118,vengerovo,55.68,76.75,0.51,87,48,7.88,RU,1602980338
119,karratha,-20.74,116.85,22.37,62,15,6.09,AU,1602980187
120,sao joao da barra,-21.64,-41.05,21.22,82,42,3.37,BR,1602980340
121,butaritari,3.07,172.79,28.08,78,29,8.94,KI,1602980341
122,asau,46.43,26.4,7.22,80,15,2.32,RO,1602980343
123,kavaratti,10.57,72.64,27.26,79,97,4.05,IN,1602980344
124,itarema,-2.92,-39.92,26.09,80,88,6.66,BR,1602980345
125,estelle,29.85,-90.11,21.11,64,20,2.6,US,1602980346
126,hervey bay,-25.3,152.85,26.67,53,40,4.1,AU,1602980076
127,half moon bay,37.46,-122.43,30.0,40,1,1.5,US,1602980350
128,yuli,9.7,10.27,23.68,84,24,1.52,NG,1602980352
129,esperance,-33.87,121.9,11.0,93,0,4.1,AU,1602980353
130,anadyr,64.75,177.48,3.0,69,19,1.0,RU,1602980355
131,lillooet,50.69,-121.94,10.0,66,90,2.6,CA,1602980357
132,vila,42.03,-8.16,10.0,92,80,1.63,PT,1602980358
133,rundu,-17.93,19.77,20.23,25,0,2.54,NA,1602980360
134,saint-augustin,51.23,-58.65,12.89,90,95,8.02,CA,1602980361
135,fortuna,40.6,-124.16,18.89,82,1,6.7,US,1602980287
136,burnie,-41.07,145.92,14.44,47,59,5.36,AU,1602980165
137,namatanai,-3.67,152.43,28.11,74,100,2.38,PG,1602980365
138,nanortalik,60.14,-45.24,3.76,84,24,0.67,GL,1602980366
139,punta arenas,-53.15,-70.92,7.0,87,75,4.1,CL,1602980367
140,cape town,-33.93,18.42,14.44,93,20,2.1,ZA,1602980102
141,conakry,9.54,-13.68,24.0,94,75,1.0,GN,1602980273
142,huarmey,-10.07,-78.15,17.82,81,37,3.25,PE,1602980372
143,puerto ayora,-0.74,-90.35,21.67,87,87,2.68,EC,1602980185
144,maxixe,-23.86,35.35,19.96,80,0,3.06,MZ,1602980375
145,pitimbu,-7.47,-34.81,24.0,88,20,2.6,BR,1602980222
146,camocim,-2.9,-40.84,25.36,84,33,4.7,BR,1602980377
147,bambanglipuro,-7.95,110.28,25.0,79,94,3.19,ID,1602980379
148,alihe,50.57,123.72,-0.86,76,3,3.48,CN,1602980380
149,klaksvik,62.23,-6.59,1.0,67,95,0.5,FO,1602980381
150,coffs harbour,-30.3,153.13,27.22,61,96,3.6,AU,1602980382
151,san jose,37.34,-121.89,34.44,13,20,3.6,US,1602980186
152,soure,-0.72,-48.52,27.15,78,92,5.39,BR,1602980385
153,liverpool,53.41,-2.98,11.0,93,75,2.1,GB,1602980265
154,gat,31.61,34.76,22.22,81,0,1.7,IL,1602980283
155,sola,-13.88,167.55,26.54,79,40,8.14,VU,1602980389
156,kavieng,-2.57,150.8,29.17,70,84,3.33,PG,1602980390
157,talnakh,69.49,88.4,-2.0,86,100,6.0,RU,1602980391
158,juneau,58.3,-134.42,4.0,38,75,3.6,US,1602980393
159,celestun,20.87,-90.4,26.83,84,5,6.07,MX,1602980394
160,hlukhiv,51.68,33.92,10.6,81,65,6.71,UA,1602980395
161,lewistown,40.6,-77.57,9.0,59,1,0.81,US,1602980396
162,gainesville,29.65,-82.32,21.67,83,1,3.6,US,1602980296
163,mildura,-34.2,142.15,15.56,71,90,4.6,AU,1602980078
164,puerto escondido,15.85,-97.07,29.0,66,75,1.86,MX,1602980400
165,nerchinskiy zavod,51.31,119.61,-3.27,83,85,2.67,RU,1602980402
166,ostrovnoy,68.05,39.51,0.07,89,5,0.76,RU,1602980403
167,pisco,-13.7,-76.22,17.0,82,0,8.2,PE,1602980404
168,sal rei,16.18,-22.92,26.0,88,75,3.6,CV,1602980406
169,ahipara,-35.17,173.17,16.96,59,8,3.39,NZ,1602980407
170,batemans bay,-35.72,150.18,16.11,90,88,0.89,AU,1602980408
171,hofn,64.25,-15.21,5.03,78,100,2.07,IS,1602980409
172,geraldton,-28.77,114.6,23.0,35,0,5.1,AU,1602980411
173,new norfolk,-42.78,147.06,14.44,75,53,0.89,AU,1602980412
174,provideniya,64.38,-173.3,3.99,83,42,1.22,RU,1602980384
175,tuy hoa,13.08,109.3,25.43,86,100,1.55,VN,1602980415
176,mersing,2.43,103.84,25.0,94,99,2.6,MY,1602980229
177,luena,-11.78,19.92,18.54,68,9,0.78,AO,1602980417
178,nelson,-41.28,173.28,17.22,67,99,1.34,NZ,1602980203
179,oranjestad,12.52,-70.03,30.0,79,20,9.8,AW,1602980420
180,padilla,3.22,-76.31,25.0,65,40,5.7,CO,1602980421
181,pangnirtung,66.15,-65.71,-1.99,94,100,0.46,CA,1602980422
182,saint-joseph,-21.37,55.62,20.56,68,25,1.0,RE,1602980424
183,vostok,46.49,135.88,4.56,81,54,4.66,RU,1602980238
184,viesca,25.35,-102.8,29.07,21,0,2.28,MX,1602980426
185,constitucion,-35.33,-72.42,10.26,85,8,4.79,CL,1602980306
186,sinjar,36.32,41.88,19.02,32,0,2.67,IQ,1602980429
187,springbok,-29.66,17.89,15.4,37,0,1.98,ZA,1602980430
188,itaituba,-4.28,-55.98,25.42,79,68,0.45,BR,1602980432
189,lompoc,34.64,-120.46,25.56,47,1,5.1,US,1602980433
190,necochea,-38.55,-58.74,22.22,69,0,4.02,AR,1602980434
191,havelock,34.88,-76.9,14.44,50,5,5.1,US,1602980436
192,jimma,7.67,36.83,15.34,90,100,0.54,ET,1602980437
193,cabo san lucas,22.89,-109.91,30.0,74,5,2.6,MX,1602980334
194,rio verde de mato grosso,-18.92,-54.84,28.93,48,48,2.03,BR,1602980441
195,regina,50.45,-104.62,-1.67,46,90,9.3,CA,1602980442
196,alta floresta,-9.88,-56.09,27.37,50,37,1.39,BR,1602980384
197,ponta do sol,32.67,-17.1,21.0,68,40,8.2,PT,1602980446
198,lerwick,60.15,-1.15,4.0,86,100,4.1,GB,1602980448
199,narsaq,60.92,-46.05,3.0,74,2,0.5,GL,1602980361
200,loukhi,66.08,33.04,1.92,96,100,5.38,RU,1602980450
201,chicama,-7.84,-79.15,18.14,77,43,2.89,PE,1602980452
